                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2678,                 3.5291,                 4.1943,                0.00282,                0.49092,                0.01034,                0.00245,                 3.2428,                 3.8047,                 4.1446,             0.00065333,             0.00065333,             0.00065333
                      2,                 3.0951,                 3.3395,                  3.787,                0.00309,                0.46333,                 0.0132,                0.00468,                 3.3164,                 3.8566,                 4.4364,              0.0012939,              0.0012939,              0.0012939
                      3,                 2.9756,                 3.2524,                 3.4495,                0.01092,                0.07988,                0.00669,                0.00174,                 2.9993,                  4.529,                 3.6721,               0.001908,               0.001908,               0.001908
                      4,                 2.8413,                 3.1394,                 3.2904,                0.03013,                0.13798,                 0.0218,                0.00516,                 2.9384,                 3.7471,                 3.5561,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.7056,                 3.0966,                 3.1808,                0.03726,                0.05737,                0.01096,                0.00284,                 2.8967,                 10.484,                 3.6525,              0.0018812,              0.0018812,              0.0018812
                      6,                  2.697,                 3.0192,                 3.1402,                0.07562,                0.13653,                0.03719,                0.00917,                 2.8016,                 5.9137,                  3.305,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.5356,                 2.9546,                 3.0326,                0.03359,                0.05519,                0.01839,                0.00536,                 2.5236,                 3.7063,                  3.129,               0.001802,               0.001802,               0.001802
                      8,                 2.4071,                  2.874,                 2.9341,                0.15501,                0.24038,                0.08552,                0.02489,                 2.4463,                 3.4226,                 3.0889,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.3258,                 2.8246,                 2.8198,                 0.0328,                 0.0472,                 0.0129,                0.00412,                 2.4714,                 6.4395,                 3.0612,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.2523,                 2.7653,                 2.7511,                0.20056,                0.27524,                0.13287,                0.04253,                 2.4244,                 2.8707,                  2.963,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.2004,                 2.7163,                 2.7111,                0.15251,                0.27451,                0.09761,                0.03034,                 2.2762,                 3.3992,                 2.8878,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.1494,                 2.6629,                 2.6417,                0.20388,                0.18021,                0.10373,                0.03231,                 2.3755,                 3.0839,                 2.9518,               0.001604,               0.001604,               0.001604
